Configurație,True Latency (s),Window Delay (min),Completeness (%)
L=0.01  Δδ=0.1,1.636,0.51,94.7
L=0.1   Δδ=0.1 (default),1.637,0.51,94.7
L=1.0   Δδ=0.1,0.743,0.43,47.2
L=0.01  Δδ=1.0,1.641,0.53,95.0
L=0.1   Δδ=1.0,1.635,0.53,95.2
L=1.0   Δδ=1.0,0.745,0.43,47.1
