Configurație,True Latency (s),Decisional Lat.(s),Completeness (%),Overhead
L=0.01  Δδ=0.1,2.48,2.795,92.0,1.0
L=0.1   Δδ=0.1,2.488,2.803,92.0,1.0
L=1.0   Δδ=0.1,2.175,2.309,91.2,1.0
L=0.01  Δδ=1.0,2.487,2.802,92.0,1.0
L=0.1   Δδ=1.0,2.49,2.804,92.0,1.0
L=1.0   Δδ=1.0,2.17,2.304,91.2,1.0
